,mean,std
genHour,11.99905359379339,6.633572023529129
eff_krig,0.13496771032059723,0.2041702733882419
TA,18.07390725334776,9.955795272816552
RN,0.19411054397906907,1.0584281536640363
WS,2.3546816364041034,1.5854304304011964
WD,16.290230658785603,5.57268569232834
HM,73.3252737471253,15.585219807427087
PV,18.165212623595746,10.429059830620634
TD,12.637833239193501,11.513136986715907
PA,1006.5630063745274,7.642386938037615
PS,1016.2915638617402,7.245792864268791
SS,0.2510863513234859,0.34526176408567416
SI,0.5804223354935963,0.8299804350334781
SD_TOT,0.048184488528725845,0.32591284471132115
SD_HR3,0.000424212950455243,0.007272508228275645
CA_TOT,5.033691786877129,3.184170759282209
CA_MID,3.123573689678128,2.251061543601086
VS,3272.7194050814724,1117.2147738418182
TS,19.708259871333016,12.01587481353464
