genHour,generationPerHour,kpxGenid,reservedCapacity,tradeDay,lat,lon
1,0,AH01,3396.6,2025-01-10,35.7135442,129.4757779
9,627.701,AH01,3396.6,2025-01-10,35.7135442,129.4757779
11,2374.368,AH01,3396.6,2025-01-10,35.7135442,129.4757779
12,2696.656,AH01,3396.6,2025-01-10,35.7135442,129.4757779
13,2762.704,AH01,3396.6,2025-01-10,35.7135442,129.4757779
14,2563.595,AH01,3396.6,2025-01-10,35.7135442,129.4757779
15,2017.852,AH01,3396.6,2025-01-10,35.7135442,129.4757779
16,1235.636,AH01,3396.6,2025-01-10,35.7135442,129.4757779
17,327.832,AH01,3396.6,2025-01-10,35.7135442,129.4757779
18,8.919,AH01,3396.6,2025-01-10,35.7135442,129.4757779
19,0,AH01,3396.6,2025-01-10,35.7135442,129.4757779
2,0,AH01,3396.6,2025-01-10,35.7135442,129.4757779
20,0,AH01,3396.6,2025-01-10,35.7135442,129.4757779
21,0,AH01,3396.6,2025-01-10,35.7135442,129.4757779
22,0,AH01,3396.6,2025-01-10,35.7135442,129.4757779
23,0,AH01,3396.6,2025-01-10,35.7135442,129.4757779
24,0,AH01,3396.6,2025-01-10,35.7135442,129.4757779
3,0,AH01,3396.6,2025-01-10,35.7135442,129.4757779
4,0,AH01,3396.6,2025-01-10,35.7135442,129.4757779
5,0,AH01,3396.6,2025-01-10,35.7135442,129.4757779
6,0,AH01,3396.6,2025-01-10,35.7135442,129.4757779
7,0,AH01,3396.6,2025-01-10,35.7135442,129.4757779
8,19.766,AH01,3396.6,2025-01-10,35.7135442,129.4757779
10,1740.159,AH01,3396.6,2025-01-10,35.7135442,129.4757779
1,0,AJ85,986.31,2025-01-10,33.3457343,126.2870553
9,0,AJ85,986.31,2025-01-10,33.3457343,126.2870553
11,0.72,AJ85,986.31,2025-01-10,33.3457343,126.2870553
12,12.96,AJ85,986.31,2025-01-10,33.3457343,126.2870553
13,84.96,AJ85,986.31,2025-01-10,33.3457343,126.2870553
14,182.88,AJ85,986.31,2025-01-10,33.3457343,126.2870553
15,213.84,AJ85,986.31,2025-01-10,33.3457343,126.2870553
16,99.36,AJ85,986.31,2025-01-10,33.3457343,126.2870553
17,41.04,AJ85,986.31,2025-01-10,33.3457343,126.2870553
18,6.48,AJ85,986.31,2025-01-10,33.3457343,126.2870553
19,0,AJ85,986.31,2025-01-10,33.3457343,126.2870553
2,0,AJ85,986.31,2025-01-10,33.3457343,126.2870553
20,0,AJ85,986.31,2025-01-10,33.3457343,126.2870553
21,0,AJ85,986.31,2025-01-10,33.3457343,126.2870553
22,0,AJ85,986.31,2025-01-10,33.3457343,126.2870553
