genHour,generationPerHour,kpxGenid,reservedCapacity,tradeDay,lat,lon
1,0,AH01,3396.6,2024-07-14,35.7135442,129.4757779
9,53.996,AH01,3396.6,2024-07-14,35.7135442,129.4757779
11,123.66,AH01,3396.6,2024-07-14,35.7135442,129.4757779
12,236.714,AH01,3396.6,2024-07-14,35.7135442,129.4757779
13,247.079,AH01,3396.6,2024-07-14,35.7135442,129.4757779
14,294.566,AH01,3396.6,2024-07-14,35.7135442,129.4757779
15,544.779,AH01,3396.6,2024-07-14,35.7135442,129.4757779
16,442.332,AH01,3396.6,2024-07-14,35.7135442,129.4757779
17,259.614,AH01,3396.6,2024-07-14,35.7135442,129.4757779
18,127.276,AH01,3396.6,2024-07-14,35.7135442,129.4757779
19,8.437,AH01,3396.6,2024-07-14,35.7135442,129.4757779
2,0,AH01,3396.6,2024-07-14,35.7135442,129.4757779
20,0,AH01,3396.6,2024-07-14,35.7135442,129.4757779
21,0,AH01,3396.6,2024-07-14,35.7135442,129.4757779
22,0,AH01,3396.6,2024-07-14,35.7135442,129.4757779
23,0,AH01,3396.6,2024-07-14,35.7135442,129.4757779
24,0,AH01,3396.6,2024-07-14,35.7135442,129.4757779
3,0,AH01,3396.6,2024-07-14,35.7135442,129.4757779
4,0,AH01,3396.6,2024-07-14,35.7135442,129.4757779
5,0,AH01,3396.6,2024-07-14,35.7135442,129.4757779
6,0,AH01,3396.6,2024-07-14,35.7135442,129.4757779
7,0,AH01,3396.6,2024-07-14,35.7135442,129.4757779
8,0,AH01,3396.6,2024-07-14,35.7135442,129.4757779
10,57.853,AH01,3396.6,2024-07-14,35.7135442,129.4757779
1,0,AJ85,986.31,2024-07-14,33.3457343,126.2870553
9,111.6,AJ85,986.31,2024-07-14,33.3457343,126.2870553
11,66.24,AJ85,986.31,2024-07-14,33.3457343,126.2870553
12,171.36,AJ85,986.31,2024-07-14,33.3457343,126.2870553
13,306,AJ85,986.31,2024-07-14,33.3457343,126.2870553
14,282.24,AJ85,986.31,2024-07-14,33.3457343,126.2870553
15,221.76,AJ85,986.31,2024-07-14,33.3457343,126.2870553
16,204.48,AJ85,986.31,2024-07-14,33.3457343,126.2870553
17,60.48,AJ85,986.31,2024-07-14,33.3457343,126.2870553
18,61.92,AJ85,986.31,2024-07-14,33.3457343,126.2870553
19,21.6,AJ85,986.31,2024-07-14,33.3457343,126.2870553
2,0,AJ85,986.31,2024-07-14,33.3457343,126.2870553
20,5.76,AJ85,986.31,2024-07-14,33.3457343,126.2870553
21,0,AJ85,986.31,2024-07-14,33.3457343,126.2870553
22,0,AJ85,986.31,2024-07-14,33.3457343,126.2870553
23,0,AJ85,986.31,2024-07-14,33.3457343,126.2870553
24,0,AJ85,986.31,2024-07-14,33.3457343,126.2870553
3,0,AJ85,986.31,2024-07-14,33.3457343,126.2870553
4,0,AJ85,986.31,2024-07-14,33.3457343,126.2870553
5,0,AJ85,986.31,2024-07-14,33.3457343,126.2870553
6,0,AJ85,986.31,2024-07-14,33.3457343,126.2870553
7,4.32,AJ85,986.31,2024-07-14,33.3457343,126.2870553
8,24.48,AJ85,986.31,2024-07-14,33.3457343,126.2870553
10,99.36,AJ85,986.31,2024-07-14,33.3457343,126.2870553
1,0,AK65,428.22,2024-07-14,33.36110809,126.2870227
9,43.6,AK65,428.22,2024-07-14,33.36110809,126.2870227
11,32.2,AK65,428.22,2024-07-14,33.36110809,126.2870227
12,88.4,AK65,428.22,2024-07-14,33.36110809,126.2870227
13,149.2,AK65,428.22,2024-07-14,33.36110809,126.2870227
14,135,AK65,428.22,2024-07-14,33.36110809,126.2870227
15,102,AK65,428.22,2024-07-14,33.36110809,126.2870227
16,109.6,AK65,428.22,2024-07-14,33.36110809,126.2870227
17,35.4,AK65,428.22,2024-07-14,33.36110809,126.2870227
18,32.8,AK65,428.22,2024-07-14,33.36110809,126.2870227
19,10.4,AK65,428.22,2024-07-14,33.36110809,126.2870227
2,0,AK65,428.22,2024-07-14,33.36110809,126.2870227
20,2.8,AK65,428.22,2024-07-14,33.36110809,126.2870227
21,0,AK65,428.22,2024-07-14,33.36110809,126.2870227
22,0,AK65,428.22,2024-07-14,33.36110809,126.2870227
23,0,AK65,428.22,2024-07-14,33.36110809,126.2870227
24,0,AK65,428.22,2024-07-14,33.36110809,126.2870227
3,0,AK65,428.22,2024-07-14,33.36110809,126.2870227
4,0,AK65,428.22,2024-07-14,33.36110809,126.2870227
5,0,AK65,428.22,2024-07-14,33.36110809,126.2870227
6,0,AK65,428.22,2024-07-14,33.36110809,126.2870227
7,2.2,AK65,428.22,2024-07-14,33.36110809,126.2870227
8,12,AK65,428.22,2024-07-14,33.36110809,126.2870227
10,45.8,AK65,428.22,2024-07-14,33.36110809,126.2870227
1,0,AM06,961.74,2024-07-14,33.4096075,126.80305229
9,11.52,AM06,961.74,2024-07-14,33.4096075,126.80305229
11,51.84,AM06,961.74,2024-07-14,33.4096075,126.80305229
12,118.08,AM06,961.74,2024-07-14,33.4096075,126.80305229
13,157.68,AM06,961.74,2024-07-14,33.4096075,126.80305229
14,64.08,AM06,961.74,2024-07-14,33.4096075,126.80305229
15,118.8,AM06,961.74,2024-07-14,33.4096075,126.80305229
16,218.88,AM06,961.74,2024-07-14,33.4096075,126.80305229
17,242.64,AM06,961.74,2024-07-14,33.4096075,126.80305229
18,79.92,AM06,961.74,2024-07-14,33.4096075,126.80305229
19,40.32,AM06,961.74,2024-07-14,33.4096075,126.80305229
2,0,AM06,961.74,2024-07-14,33.4096075,126.80305229
20,5.76,AM06,961.74,2024-07-14,33.4096075,126.80305229
21,0,AM06,961.74,2024-07-14,33.4096075,126.80305229
22,0,AM06,961.74,2024-07-14,33.4096075,126.80305229
23,0,AM06,961.74,2024-07-14,33.4096075,126.80305229
24,0,AM06,961.74,2024-07-14,33.4096075,126.80305229
3,0,AM06,961.74,2024-07-14,33.4096075,126.80305229
4,0,AM06,961.74,2024-07-14,33.4096075,126.80305229
5,0,AM06,961.74,2024-07-14,33.4096075,126.80305229
6,0,AM06,961.74,2024-07-14,33.4096075,126.80305229
7,0.72,AM06,961.74,2024-07-14,33.4096075,126.80305229
8,2.16,AM06,961.74,2024-07-14,33.4096075,126.80305229
10,7.92,AM06,961.74,2024-07-14,33.4096075,126.80305229
1,0,AM05,877.5,2024-07-14,33.4091956,126.80288359
9,12.24,AM05,877.5,2024-07-14,33.4091956,126.80288359
11,50.4,AM05,877.5,2024-07-14,33.4091956,126.80288359
12,111.6,AM05,877.5,2024-07-14,33.4091956,126.80288359
13,151.2,AM05,877.5,2024-07-14,33.4091956,126.80288359
14,59.76,AM05,877.5,2024-07-14,33.4091956,126.80288359
15,113.76,AM05,877.5,2024-07-14,33.4091956,126.80288359
16,208.8,AM05,877.5,2024-07-14,33.4091956,126.80288359
17,230.4,AM05,877.5,2024-07-14,33.4091956,126.80288359
18,76.32,AM05,877.5,2024-07-14,33.4091956,126.80288359
19,38.16,AM05,877.5,2024-07-14,33.4091956,126.80288359
2,0,AM05,877.5,2024-07-14,33.4091956,126.80288359
20,4.32,AM05,877.5,2024-07-14,33.4091956,126.80288359
21,0,AM05,877.5,2024-07-14,33.4091956,126.80288359
22,0,AM05,877.5,2024-07-14,33.4091956,126.80288359
23,0,AM05,877.5,2024-07-14,33.4091956,126.80288359
24,0,AM05,877.5,2024-07-14,33.4091956,126.80288359
3,0,AM05,877.5,2024-07-14,33.4091956,126.80288359
4,0,AM05,877.5,2024-07-14,33.4091956,126.80288359
5,0,AM05,877.5,2024-07-14,33.4091956,126.80288359
6,0,AM05,877.5,2024-07-14,33.4091956,126.80288359
7,0,AM05,877.5,2024-07-14,33.4091956,126.80288359
8,2.88,AM05,877.5,2024-07-14,33.4091956,126.80288359
10,7.2,AM05,877.5,2024-07-14,33.4091956,126.80288359
1,0,AM07,996.84,2024-07-14,33.5065892,126.81633509
9,77.76,AM07,996.84,2024-07-14,33.5065892,126.81633509
11,66.24,AM07,996.84,2024-07-14,33.5065892,126.81633509
12,196.56,AM07,996.84,2024-07-14,33.5065892,126.81633509
13,345.6,AM07,996.84,2024-07-14,33.5065892,126.81633509
14,149.04,AM07,996.84,2024-07-14,33.5065892,126.81633509
15,94.32,AM07,996.84,2024-07-14,33.5065892,126.81633509
16,129.6,AM07,996.84,2024-07-14,33.5065892,126.81633509
17,51.84,AM07,996.84,2024-07-14,33.5065892,126.81633509
18,62.64,AM07,996.84,2024-07-14,33.5065892,126.81633509
19,45.36,AM07,996.84,2024-07-14,33.5065892,126.81633509
2,0,AM07,996.84,2024-07-14,33.5065892,126.81633509
20,6.48,AM07,996.84,2024-07-14,33.5065892,126.81633509
21,0,AM07,996.84,2024-07-14,33.5065892,126.81633509
22,0,AM07,996.84,2024-07-14,33.5065892,126.81633509
23,0,AM07,996.84,2024-07-14,33.5065892,126.81633509
24,0,AM07,996.84,2024-07-14,33.5065892,126.81633509
3,0,AM07,996.84,2024-07-14,33.5065892,126.81633509
4,0,AM07,996.84,2024-07-14,33.5065892,126.81633509
5,0,AM07,996.84,2024-07-14,33.5065892,126.81633509
6,0,AM07,996.84,2024-07-14,33.5065892,126.81633509
7,5.04,AM07,996.84,2024-07-14,33.5065892,126.81633509
8,33.84,AM07,996.84,2024-07-14,33.5065892,126.81633509
10,30.24,AM07,996.84,2024-07-14,33.5065892,126.81633509
1,0,AA41,918,2024-07-14,33.36680921963808,126.77113
9,7.2,AA41,918,2024-07-14,33.36680921963808,126.77113
11,46.08,AA41,918,2024-07-14,33.36680921963808,126.77113
12,71.28,AA41,918,2024-07-14,33.36680921963808,126.77113
13,84.96,AA41,918,2024-07-14,33.36680921963808,126.77113
14,54.72,AA41,918,2024-07-14,33.36680921963808,126.77113
15,88.56,AA41,918,2024-07-14,33.36680921963808,126.77113
16,198,AA41,918,2024-07-14,33.36680921963808,126.77113
17,123.84,AA41,918,2024-07-14,33.36680921963808,126.77113
18,69.84,AA41,918,2024-07-14,33.36680921963808,126.77113
19,45.36,AA41,918,2024-07-14,33.36680921963808,126.77113
2,0,AA41,918,2024-07-14,33.36680921963808,126.77113
20,1.44,AA41,918,2024-07-14,33.36680921963808,126.77113
21,0,AA41,918,2024-07-14,33.36680921963808,126.77113
22,0,AA41,918,2024-07-14,33.36680921963808,126.77113
23,0,AA41,918,2024-07-14,33.36680921963808,126.77113
24,0,AA41,918,2024-07-14,33.36680921963808,126.77113
3,0,AA41,918,2024-07-14,33.36680921963808,126.77113
4,0,AA41,918,2024-07-14,33.36680921963808,126.77113
5,0,AA41,918,2024-07-14,33.36680921963808,126.77113
6,0,AA41,918,2024-07-14,33.36680921963808,126.77113
