genHour,generationPerHour,kpxGenid,reservedCapacity,tradeDay,lat,lon
1,0,AH01,3396.6,2024-07-12,35.7135442,129.4757779
9,1254.92,AH01,3396.6,2024-07-12,35.7135442,129.4757779
11,2284.697,AH01,3396.6,2024-07-12,35.7135442,129.4757779
12,2488.145,AH01,3396.6,2024-07-12,35.7135442,129.4757779
13,2557.809,AH01,3396.6,2024-07-12,35.7135442,129.4757779
14,2461.629,AH01,3396.6,2024-07-12,35.7135442,129.4757779
15,2169.474,AH01,3396.6,2024-07-12,35.7135442,129.4757779
16,1684.476,AH01,3396.6,2024-07-12,35.7135442,129.4757779
17,1090.522,AH01,3396.6,2024-07-12,35.7135442,129.4757779
18,515.853,AH01,3396.6,2024-07-12,35.7135442,129.4757779
19,166.567,AH01,3396.6,2024-07-12,35.7135442,129.4757779
2,0,AH01,3396.6,2024-07-12,35.7135442,129.4757779
20,10.847,AH01,3396.6,2024-07-12,35.7135442,129.4757779
21,0,AH01,3396.6,2024-07-12,35.7135442,129.4757779
22,0,AH01,3396.6,2024-07-12,35.7135442,129.4757779
23,0,AH01,3396.6,2024-07-12,35.7135442,129.4757779
24,0,AH01,3396.6,2024-07-12,35.7135442,129.4757779
3,0,AH01,3396.6,2024-07-12,35.7135442,129.4757779
4,0,AH01,3396.6,2024-07-12,35.7135442,129.4757779
5,0,AH01,3396.6,2024-07-12,35.7135442,129.4757779
6,4.098,AH01,3396.6,2024-07-12,35.7135442,129.4757779
7,182.477,AH01,3396.6,2024-07-12,35.7135442,129.4757779
8,612.756,AH01,3396.6,2024-07-12,35.7135442,129.4757779
10,1850.802,AH01,3396.6,2024-07-12,35.7135442,129.4757779
1,0,AJ85,986.31,2024-07-12,33.3457343,126.2870553
9,305.28,AJ85,986.31,2024-07-12,33.3457343,126.2870553
11,478.08,AJ85,986.31,2024-07-12,33.3457343,126.2870553
12,51.12,AJ85,986.31,2024-07-12,33.3457343,126.2870553
13,231.84,AJ85,986.31,2024-07-12,33.3457343,126.2870553
14,187.2,AJ85,986.31,2024-07-12,33.3457343,126.2870553
15,126.72,AJ85,986.31,2024-07-12,33.3457343,126.2870553
16,234.72,AJ85,986.31,2024-07-12,33.3457343,126.2870553
17,287.28,AJ85,986.31,2024-07-12,33.3457343,126.2870553
